Epoch Number 58 - Training Accuracy: 89.00833333333334 | Validation Error: 89.325 | Generalization Accuracy: 89.025
Epoch Number 59 - Training Accuracy: 89.225 | Validation Error: 89.4 | Generalization Accuracy: 89.0
Epoch Number 60 - Training Accuracy: 89.35 | Validation Error: 89.45 | Generalization Accuracy: 89.17500000000001
Epoch Number 61 - Training Accuracy: 89.325 | Validation Error: 89.64999999999999 | Generalization Accuracy: 89.35
Epoch Number 62 - Training Accuracy: 89.50833333333334 | Validation Error: 89.95 | Generalization Accuracy: 89.625
Epoch Number 63 - Training Accuracy: 89.625 | Validation Error: 90.10000000000001 | Generalization Accuracy: 89.9
Epoch Number 64 - Training Accuracy: 89.79166666666667 | Validation Error: 90.325 | Generalization Accuracy: 90.075
Epoch Number 65 - Training Accuracy: 89.84166666666667 | Validation Error: 90.55 | Generalization Accuracy: 90.075
Epoch Number 66 - Training Accuracy: 90.00833333333334 | Validation Error: 90.85 | Generalization Accuracy: 90.17500000000001
Epoch Number 67 - Training Accuracy: 90.10000000000001 | Validation Error: 90.8 | Generalization Accuracy: 90.35
Epoch Number 68 - Training Accuracy: 90.10833333333333 | Validation Error: 90.85 | Generalization Accuracy: 90.5
Epoch Number 69 - Training Accuracy: 90.11666666666667 | Validation Error: 90.875 | Generalization Accuracy: 90.625
Epoch Number 70 - Training Accuracy: 90.25833333333333 | Validation Error: 90.9 | Generalization Accuracy: 90.575
Epoch Number 71 - Training Accuracy: 90.375 | Validation Error: 91.025 | Generalization Accuracy: 90.675
Epoch Number 72 - Training Accuracy: 90.44166666666666 | Validation Error: 91.125 | Generalization Accuracy: 90.75
Epoch Number 73 - Training Accuracy: 90.64999999999999 | Validation Error: 91.25 | Generalization Accuracy: 90.75
Epoch Number 74 - Training Accuracy: 90.68333333333334 | Validation Error: 91.3 | Generalization Accuracy: 90.85
Epoch Number 75 - Training Accuracy: 90.9 | Validation Error: 91.225 | Generalization Accuracy: 90.925
Epoch Number 76 - Training Accuracy: 90.81666666666666 | Validation Error: 91.225 | Generalization Accuracy: 90.95
Epoch Number 77 - Training Accuracy: 90.84166666666667 | Validation Error: 91.425 | Generalization Accuracy: 91.025
Epoch Number 78 - Training Accuracy: 90.93333333333334 | Validation Error: 91.27499999999999 | Generalization Accuracy: 91.125
